openalex_id,doi,pmcid,pmid,source_url,local_path,file_hash,retrieval_time_utc,notes
W4405699889,10.1038/s41551-024-01311-6,PMC12183321,39715896,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12183321/fullTextXML,research_ops/cache/fulltext/T205_PMC12183321.xml,86cbb45f6cd53dd6872dd82893681a15aeeafeddc67dba47905735d6535bf574,2026-04-01T15:19:43Z,T205 pilot
W4322763428,10.1038/s41580-023-00585-z,PMC9980873,36864290,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9980873/fullTextXML,research_ops/cache/fulltext/T205_PMC9980873.xml,c820b7f33f3b74e06c9b7b24f3c52263b74573e00c77d71e9a4bada58e004057,2026-04-01T15:19:43Z,T205 pilot
W4362606390,10.1038/s41586-023-05874-3,PMC7614604,37020004,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7614604/fullTextXML,research_ops/cache/fulltext/T205_PMC7614604.xml,7e8e44c62a399a1433c66733e972f723e023defbdf930c59839bc7943c9af8d1,2026-04-01T15:19:43Z,T205 pilot
W4376133743,10.1038/s41586-023-06063-y,PMC10171177,37165196,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10171177/fullTextXML,research_ops/cache/fulltext/T205_PMC10171177.xml,9eb2155b453ea95f5a46d115bb9bf935932ce34643b8aed37ee6cd5a48125a9a,2026-04-01T15:19:43Z,T205 pilot
W4389132715,10.1038/s41586-023-06734-w,PMC10700133,38030721,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10700133/fullTextXML,research_ops/cache/fulltext/T205_PMC10700133.xml,19725c047831a476ff616b59d425d9bbe5183274ecbd89d6b5f6cae3d2f85182,2026-04-01T15:19:43Z,T205 pilot
W4389991792,10.1038/s41586-023-06792-0,PMC10733136,38123806,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10733136/fullTextXML,research_ops/cache/fulltext/T205_PMC10733136.xml,21e9196bfbee8fe26656cab7bfc0fa7b288e336a6a1fe038aa3f7fe44bc421dd,2026-04-01T15:19:43Z,T205 pilot
W4392747569,10.1038/s41586-024-07171-z,PMC10972757,38480880,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10972757/fullTextXML,research_ops/cache/fulltext/T205_PMC10972757.xml,38a6fd7778693349fe8ebd3078b6484c670fe42e61d520c9f19a2e8fe9654410,2026-04-01T15:19:43Z,T205 pilot
W4392762752,10.1038/s41586-024-07185-7,PMC10990924,38480892,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10990924/fullTextXML,research_ops/cache/fulltext/T205_PMC10990924.xml,c07d844dab4ef76b0f9fc2d05ea4c327eb8e8a42f307119f730aee90de31bcfa,2026-04-01T15:19:43Z,T205 pilot
W4392155415,10.1038/s41586-024-07215-4,PMC11006616,38408488,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11006616/fullTextXML,research_ops/cache/fulltext/T205_PMC11006616.xml,49462cb65f07070b10b20569203a1d672a93a6aa94af587738cf550935f94fee,2026-04-01T15:19:43Z,T205 pilot
W4399803256,10.1038/s41586-024-07421-0,PMC11186750,38898292,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11186750/fullTextXML,research_ops/cache/fulltext/T205_PMC11186750.xml,4db0796b4fe4c6e463876f09e76a1f12d3a43a2123a4b59770e043b5762a52f9,2026-04-01T15:19:43Z,T205 pilot
W4398201291,10.1038/s41586-024-07441-w,PMC11153137,38778098,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11153137/fullTextXML,research_ops/cache/fulltext/T205_PMC11153137.xml,21fbb6296b73a2ab0780643021acda078fd85d74a22088206e71cdd9fc8edd37,2026-04-01T15:19:43Z,T205 pilot
