openalex_id,paper_id,abstract_status,abstract_artifact,fulltext_html_status,fulltext_html_artifact,pdf_status,pdf_artifact,oa_url_cached,last_fetch_utc,notes
W4405627543,openalex:W4405627543,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405627543.pdf,pending,,https://arxiv.org/pdf/2412.14473,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405627615,openalex:W4405627615,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405627615.pdf,pending,,https://arxiv.org/pdf/2412.14522,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405627652,openalex:W4405627652,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405627652.pdf,pending,,https://arxiv.org/pdf/2412.14535,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405627688,openalex:W4405627688,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405627688.pdf,pending,,https://arxiv.org/pdf/2412.14545,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405632768,openalex:W4405632768,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405634562,openalex:W4405634562,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405634562.pdf,pending,,https://arxiv.org/pdf/2412.14804,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405636813,openalex:W4405636813,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pending,,pending,,https://www.nature.com/articles/s43588-024-00758-6.pdf,2026-04-01T10:32:56Z,T200 OpenAlex abstract layer
W4405636845,openalex:W4405636845,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pending,,pending,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12327385/pdf/nihms-2096726.pdf,2026-04-01T10:32:56Z,T200 OpenAlex abstract layer
W4405644905,openalex:W4405644905,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405644905.pdf,pending,,https://arxiv.org/pdf/2412.15054,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405646376,openalex:W4405646376,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405646376.pdf,pending,,https://www.nature.com/articles/s43588-024-00746-w.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405647189,openalex:W4405647189,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405647189.pdf,pending,,https://www.nature.com/articles/s41746-024-01383-3.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405647200,openalex:W4405647200,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405647200.pdf,pending,,https://arxiv.org/pdf/2412.14999,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405682607,openalex:W4405682607,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://www.biorxiv.org/content/biorxiv/early/2024/12/22/2024.12.19.629259.full.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden
W4405682729,openalex:W4405682729,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://www.biorxiv.org/content/biorxiv/early/2024/12/22/2024.12.18.629215.full.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden
W4405687361,openalex:W4405687361,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1101/2024.12.20.629650,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden
W4405694818,openalex:W4405694818,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405694818.pdf,pending,,https://www.nature.com/articles/s41746-024-01394-0.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405695590,openalex:W4405695590,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405695590.pdf,pending,,https://www.nature.com/articles/s41746-024-01385-1.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405697079,openalex:W4405697079,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://www.biorxiv.org/content/biorxiv/early/2024/12/22/2024.12.21.629010.1.full.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden
W4405699116,openalex:W4405699116,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://www.biorxiv.org/content/biorxiv/early/2024/12/23/2024.12.22.629295.full.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden
W4405699889,openalex:W4405699889,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405699889.pdf,pending,,https://www.nature.com/articles/s41551-024-01311-6.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405699989,openalex:W4405699989,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405700039,openalex:W4405700039,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405700039.pdf,pending,,https://www.nature.com/articles/s43588-024-00744-y.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405705258,openalex:W4405705258,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405705258.pdf,pending,,https://www.nature.com/articles/s41746-024-01384-2.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405707312,openalex:W4405707312,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1101/2024.12.22.630012,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden
